Frame Count, Hist. Correlation, Time per frame FPGA, Time per frame OpenCV 
0,99.9919,337.273,1.10924
1,99.992,342.01,1.19811
2,99.9745,341.999,0.492881
3,99.974,337.997,0.323391
4,99.9573,337.996,0.28239
5,99.9586,337.984,0.318491
6,99.9653,339.991,0.285851
7,99.9659,338.013,0.291501
8,99.968,338.004,0.293191
9,99.9684,337.996,0.337571
10,99.9686,338.003,0.295091
11,99.9567,338.019,0.343011
12,99.9469,337.99,0.280961
13,99.9403,335.968,0.27466
14,99.9401,338.003,0.582451
15,99.9413,338.01,0.270941
16,99.9431,337.999,0.321441
17,99.9443,338.005,0.31921
18,99.9449,342.004,0.32226
19,99.9487,340,0.321811
20,99.9468,342.007,0.255541
21,99.9445,335.967,0.279661
22,99.9396,338.001,0.31936
23,99.9405,338.001,0.320911
24,99.942,340.001,0.272321
25,99.9429,336.012,0.275221
26,99.9456,339.995,0.276721
27,99.9422,338.029,0.436332
28,99.9495,337.948,0.32617
29,99.9463,342.003,0.28452
30,99.9573,337.999,0.24413
31,99.9582,336.007,0.291351
32,99.9581,338.005,0.327941
33,99.9576,338.001,0.328321
34,99.9578,338.001,0.328281
35,99.9578,339.972,0.326731
36,99.9572,340.033,0.28513
37,99.9589,339.979,0.521932
38,99.9601,338.005,0.395771
39,99.9611,339.995,0.482901
40,99.9592,336.012,0.401751
41,99.9597,341.99,0.290831
42,99.9581,338.007,0.333581
43,99.9579,342.001,0.332761
44,99.959,339.974,0.331831
45,99.9465,340.035,0.284651
46,99.931,335.969,0.319161
47,99.94,342.005,0.278201
48,99.9474,338.001,0.279921
49,99.9456,337.997,0.281781
50,99.937,340.003,0.28136
51,99.9346,338.012,0.322211
52,99.9392,338.001,0.323871
53,99.9397,337.964,0.284321
54,99.9426,338.015,0.320451
55,99.9499,339.994,0.284821
56,99.9447,336.002,0.327841
57,99.9471,340.01,0.339491
58,99.9496,336.013,0.323761
59,99.9475,335.991,0.280231
60,99.9484,335.977,0.346011
61,99.9477,337.999,0.327071
62,99.9466,342.004,0.331641
63,99.9485,336.005,0.289191
64,99.9471,335.999,0.288051
65,99.9452,338.01,0.289121
66,99.9441,340.001,0.27919
67,99.9416,337.973,0.326301
68,99.939,340,0.313491
69,99.9366,340.003,0.321461
70,99.9416,338.002,0.323091
71,99.9463,338.004,0.323991
72,99.9411,340.035,0.335571
73,99.9361,341.97,0.27479
74,99.9304,338.002,0.31905
75,99.9294,342.002,0.315251
76,99.9276,340.016,0.369621
77,99.9296,337.964,0.317981
78,99.9312,337.99,0.273521
