Frame Count, Hist. Correlation, Time per frame FPGA, Time per frame OpenCV 
0,99.9951,693.05,1.23242
1,99.9952,702,1.08506
2,99.9955,702.015,0.438505
3,99.9811,751.987,0.347364
4,99.9828,718.022,0.348234
5,99.9753,746.017,0.412486
6,99.976,709.993,0.339694
7,99.967,765.989,0.346294
8,99.9599,722.014,0.273104
9,99.9672,766,0.335184
10,99.968,730.008,0.283023
11,99.9663,726.023,0.330433
12,99.9671,702.002,0.295554
13,99.9664,721.979,0.294913
14,99.9666,734.048,0.400085
15,99.9676,759.962,0.283954
16,99.9592,700.003,0.318884
17,99.9597,692.003,0.290943
18,99.9611,694.019,0.319234
19,99.9603,690.005,0.383774
20,99.9598,766.011,0.295223
21,99.9588,739.981,0.319243
22,99.9602,768.041,0.362114
23,99.96,763.979,0.319253
24,99.9597,703.998,0.317884
25,99.9601,722.025,0.321564
26,99.9595,763.996,0.386324
27,99.9591,746.001,0.322243
28,99.9596,730.018,0.318704
29,99.9592,746.005,0.319054
30,99.9599,717.988,0.319794
31,99.9602,692.02,0.319474
32,99.9599,747.984,0.279543
33,99.9586,762.004,0.318374
34,99.9596,768.022,0.279033
35,99.96,739.988,0.384975
36,99.96,722.007,0.270913
37,99.9597,752.006,0.289123
38,99.9589,730.013,0.273103
39,99.96,723.998,0.379104
40,99.9591,714.011,0.287033
41,99.9601,762.001,0.319554
42,99.9596,725.993,0.382925
43,99.9609,754.023,0.291953
44,99.96,721.989,0.320004
45,99.9603,734.008,0.279283
46,99.9607,717.997,0.239493
47,99.9597,678.015,0.295473
48,99.9607,726.012,0.314844
49,99.9603,746.014,0.266493
50,99.9598,755.988,0.280653
51,99.9603,742.01,0.278953
52,99.9606,765.995,0.269514
53,99.9605,759.997,0.282893
54,99.9604,713.998,0.316174
55,99.9593,689.997,0.272213
56,99.9604,722.022,0.312994
57,99.9609,694.004,0.321074
58,99.9601,701.998,0.320954
59,99.9613,718.037,0.325944
60,99.9595,765.979,0.274873
61,99.9598,696.003,0.317344
62,99.9619,684.014,0.271903
63,99.9601,707.984,0.238523
64,99.962,704.004,0.320214
65,99.9611,706.047,0.315974
66,99.9605,698,0.316293
67,99.9609,701.996,0.315114
68,99.9605,763.972,0.273834
69,99.96,716.007,0.286414
70,99.9602,685.995,0.317704
71,99.961,692.038,0.276193
72,99.9616,733.979,0.278593
73,99.9599,704.02,0.340464
74,99.9607,750.009,0.383964
