Frame Count, Hist. Correlation, Time per frame FPGA, Time per frame OpenCV 
0,99.9951,4382.91,1.20548
1,99.9858,4386.7,1.05072
2,99.9671,4387.74,0.279893
3,99.9608,4389.11,0.323153
4,99.9606,4391.6,0.327304
5,99.9602,4393.52,0.385804
6,99.9613,4389.89,0.455285
7,99.96,4389.7,0.385805
8,99.9592,4386.47,0.289983
9,99.9592,4384.18,0.276093
10,99.9588,4383.8,0.277103
11,99.9604,4385.93,0.337324
12,99.9605,4386.28,0.272933
13,99.9597,4385.99,0.404204
14,99.9607,4386.59,0.333464
15,99.9597,4387.08,0.386664
16,99.9854,4385.65,0.292583
17,99.9855,4383.7,0.345924
18,99.9858,4387.23,0.349314
19,99.9846,4389.44,0.304354
20,99.9852,4386.22,0.305024
21,99.9841,4384.36,0.300623
22,99.9845,4384.91,0.427104
23,99.9859,4386.94,0.358774
24,99.9842,4385.63,0.346274
25,99.9839,4387.93,0.421565
26,99.9846,4386.02,0.302934
27,99.9852,4384.38,0.292583
28,99.9857,4388.12,0.346624
29,99.9858,4387.8,0.436375
30,99.9845,4387.66,0.350233
31,99.9838,4386.18,0.297094
32,99.9842,4384.13,0.345064
33,99.9835,4385.14,0.344744
34,99.9837,4385.63,0.291703
35,99.9834,4385.11,0.259243
36,99.9841,4384.62,0.346074
37,99.983,4385.34,0.432025
38,99.9847,4387.63,0.414455
39,99.9837,4388.16,0.356354
40,99.9845,4388.46,0.344854
41,99.9589,4388.64,0.312073
42,99.9683,4385.4,0.325694
43,99.9623,4395.25,0.315384
44,99.9651,4394.72,0.312554
45,99.9645,4391.86,0.315034
46,99.9658,4390.37,0.313944
47,99.9671,4390.39,0.276583
48,99.966,4384.29,0.275703
49,99.9577,4384.39,0.369794
50,99.9689,4385.72,0.274533
51,99.9694,4388.7,0.319153
52,99.9856,4392.59,0.353294
53,99.9856,4389.04,0.306943
54,99.9856,4392.54,0.304743
55,99.9868,4389.34,0.421064
56,99.9854,4393.04,0.317973
57,99.9852,4388.68,0.348524
58,99.9857,4391.86,0.448005
59,99.9865,4392.93,0.429985
60,99.9871,4394.67,0.358664
61,99.9862,4387.59,0.352834
62,99.9868,4388.19,0.366284
63,99.9871,4389.63,0.353774
64,99.9875,4392.71,0.415365
65,99.9877,4391.07,0.352904
66,99.9873,4395.59,0.308103
67,99.9877,4393.6,0.311454
68,99.9879,4390.87,0.302414
69,99.9878,4394.95,0.307013
70,99.9879,4396.96,0.314454
71,99.9881,4399.24,0.439335
72,99.9881,4400.38,0.368664
73,99.9881,4405.16,0.360774
74,99.9881,4393.28,0.373324
75,99.9883,4398.3,0.384925
76,99.989,4400.43,0.364114
77,99.9883,4397.92,0.365854
78,99.9882,4396.99,0.442595
79,99.9883,4399.21,0.439315
80,99.9882,4388.35,0.355674
81,99.989,4389.99,0.362154
82,99.9625,4396.27,0.309044
83,99.9705,4394.56,0.375514
84,99.971,4394.97,0.387744
85,99.9716,4399.47,0.375145
86,99.9703,4396.2,0.304503
87,99.9711,4400.34,0.261873
88,99.9723,4401.07,0.268123
89,99.973,4395.47,0.304273
90,99.9733,4397.24,0.305343
91,99.973,4397.38,0.376814
92,99.9728,4399.61,0.365064
93,99.9719,4403.36,0.358665
94,99.9715,4399.1,0.364914
95,99.9714,4398.97,0.267993
96,99.9726,4398.78,0.379515
97,99.9722,4399.39,0.272063
98,99.9717,4392.65,0.373204
99,99.9728,4398.31,0.366944
100,99.9711,4400.97,0.362854
101,99.9715,4399.68,0.369194
102,99.9665,4401.24,0.260083
